date,open,high,low,close,volume,Name
2013-07-25,33.545,34.88,32.75,34.359,365380568,FB
2013-07-26,33.77,34.73,33.56,34.01,135913708,FB
2013-07-29,34.07,35.63,34.01,35.43,124761328,FB
2013-07-30,35.65,37.96,35.32,37.627,173095430,FB
2013-07-31,37.96,38.31,36.33,36.8,154729632,FB
2013-08-01,37.3,38.29,36.92,37.489,105923556,FB
2013-08-02,37.66,38.49,37.5,38.05,72753482,FB
2013-08-05,38.43,39.32,38.25,39.189,79851445,FB
2013-08-06,39.11,39.25,37.94,38.55,63861878,FB
2013-08-07,38.61,38.94,37.7,38.87,68760036,FB
2013-08-08,39.13,39.19,38.43,38.54,41195029,FB
2013-08-09,38.59,38.74,38.01,38.5,43553093,FB
2013-08-12,38.2,38.5,38.1,38.22,31102475,FB
2013-08-13,38.24,38.32,36.77,37.019,65277931,FB
2013-08-14,36.83,37.55,36.62,36.65,48350658,FB
2013-08-15,36.36,37.07,36.0201,36.56,56439536,FB
2013-08-16,36.97,37.49,36.9,37.08,45761142,FB
2013-08-19,37.43,38.28,37.14,37.81,57511315,FB
2013-08-20,38.35,38.58,37.69,38.41,57918043,FB
2013-08-21,38.38,38.85,38.145,38.32,46012705,FB
2013-08-22,38.37,38.75,38.34,38.55,21864167,FB
2013-08-23,39.0,40.63,38.93,40.55,86294354,FB
2013-08-26,40.9,41.94,40.62,41.34,94003719,FB
2013-08-27,40.68,41.2,39.42,39.64,72591340,FB
2013-08-28,39.96,40.85,39.88,40.548,57633448,FB
2013-08-29,40.89,41.78,40.8,41.28,58200104,FB
2013-08-30,42.025,42.26,41.06,41.294,67614292,FB
2013-09-03,41.84,42.165,41.51,41.87,48680163,FB
2013-09-04,42.01,42.17,41.44,41.78,42514254,FB
2013-09-05,41.79,42.765,41.77,42.66,49959995,FB
2013-09-06,43.09,44.61,42.4,43.95,117404531,FB
2013-09-09,44.36,44.79,43.7,44.04,75694727,FB
2013-09-10,44.24,44.26,43.23,43.6,54484713,FB
2013-09-11,43.39,45.09,43.11,45.04,71987696,FB
2013-09-12,45.53,45.62,44.65,44.75,67984695,FB
2013-09-13,45.04,45.08,43.93,44.31,52722979,FB
2013-09-16,44.85,44.94,42.43,42.51,70643055,FB
2013-09-17,42.5,45.44,42.43,45.07,91791148,FB
2013-09-18,44.84,45.47,44.395,45.23,79195609,FB
2013-09-19,45.51,46.05,45.23,45.98,63900139,FB
2013-09-20,46.32,47.6,45.74,47.49,115383977,FB
2013-09-23,47.28,47.55,46.29,47.19,75184675,FB
2013-09-24,48.505,49.66,48.16,48.45,136424276,FB
2013-09-25,49.23,49.54,48.46,49.46,87648664,FB
2013-09-26,50.01,50.6,49.5,50.39,98022379,FB
2013-09-27,50.29,51.28,49.86,51.24,81198674,FB
2013-09-30,50.14,51.6,49.8,50.23,99731046,FB
2013-10-01,49.97,51.03,49.45,50.42,97982198,FB
2013-10-02,50.13,51.1,49.95,50.28,62697277,FB
2013-10-03,50.47,50.72,49.06,49.183,81766820,FB
2013-10-04,49.77,51.16,49.57,51.04,74331493,FB
2013-10-07,50.73,51.29,50.4,50.515,57111374,FB
2013-10-08,50.6,50.6,47.08,47.14,135793306,FB
2013-10-09,47.375,47.84,45.26,46.77,147101894,FB
2013-10-10,47.865,49.68,47.83,49.05,99773784,FB
2013-10-11,49.18,49.87,48.79,49.11,58428451,FB
2013-10-14,48.31,49.63,47.91,49.51,68780552,FB
2013-10-15,49.99,51.0,49.18,49.5,81166571,FB
2013-10-16,50.04,51.24,49.9,51.135,64678247,FB
2013-10-17,51.12,52.22,50.95,52.21,71521899,FB
2013-10-18,54.18,54.825,53.6,54.22,88260093,FB
2013-10-21,54.68,54.81,53.51,53.85,58235283,FB
2013-10-22,54.33,54.76,52.2,52.675,83203892,FB
2013-10-23,51.75,52.25,51.13,51.9,57207154,FB
2013-10-24,52.38,52.84,51.5928,52.445,46775185,FB
2013-10-25,53.18,53.24,51.88,51.95,45085348,FB
2013-10-28,51.54,51.7,49.61,50.229,73472347,FB
2013-10-29,50.73,50.79,49.25,49.395,102143469,FB
2013-10-30,50.0,50.21,48.75,49.01,127072652,FB
2013-10-31,47.155,52.0,46.5,50.205,248809006,FB
2013-11-01,50.85,52.09,49.72,49.75,95032876,FB
2013-11-04,49.365,49.75,48.02,48.22,80371218,FB
2013-11-05,47.79,50.18,47.51,50.105,76835006,FB
2013-11-06,50.26,50.45,48.71,49.12,67889337,FB
2013-11-07,49.24,49.87,47.3,47.56,97127618,FB
2013-11-08,47.81,48.65,47.25,47.53,70731178,FB
2013-11-11,47.04,47.53,45.73,46.2,80909626,FB
2013-11-12,46.0,47.37,45.83,46.605,68195832,FB
2013-11-13,46.23,48.74,46.06,48.71,79245346,FB
2013-11-14,48.7,49.57,48.03,48.99,75117049,FB
2013-11-15,49.11,49.48,48.71,49.01,42452937,FB
2013-11-18,48.47,48.84,45.8,45.83,85909884,FB
2013-11-19,46.26,47.0,45.72,46.36,75602413,FB
2013-11-20,46.61,47.55,46.31,46.43,53932698,FB
2013-11-21,46.99,47.46,46.685,46.7,34886170,FB
2013-11-22,47.04,47.27,45.96,46.23,40545375,FB
2013-11-25,46.36,46.65,44.04,44.82,82565324,FB
2013-11-26,44.66,46.17,43.55,45.89,82016490,FB
2013-11-27,45.97,46.67,45.53,46.49,44993195,FB
2013-11-29,46.75,47.21,46.5,47.01,22953916,FB
2013-12-02,46.9,47.54,46.26,47.06,50773647,FB
2013-12-03,46.75,47.2,46.29,46.73,32085905,FB
2013-12-04,46.46,48.77,46.26,48.62,60890176,FB
2013-12-05,48.15,48.7,47.87,48.34,43855036,FB
2013-12-06,48.98,49.39,47.71,47.94,42937659,FB
2013-12-09,48.09,48.97,47.74,48.84,36055891,FB
2013-12-10,48.64,50.77,48.54,50.245,68478561,FB
2013-12-11,50.55,50.77,49.01,49.38,65776366,FB
2013-12-12,51.045,52.07,50.66,51.83,92723034,FB
2013-12-13,51.66,53.5,51.34,53.32,82640992,FB
